"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Xanthomonas","Xanthomonas"
"M375.07T470.729","-0.09082328","-0.76612320","-0.26005925"," 0.34513488"," 0.77187085"
"M354.093T469.671","-0.1242401","-0.7656506","-0.2566406"," 0.3651708"," 0.7813605"
"M437.041T470.729","-0.1204675","-0.7464590","-0.2363060"," 0.3100563"," 0.7931761"
"M757.441T1176.453"," 0.25861444"," 0.26590373","-0.73567883"," 0.03213771"," 0.17902294"
"M881.515T1351.787","-0.3906577","-0.1294511","-0.3170726"," 0.2661355"," 0.5710459"
"M511.24T944.134","-0.44021925","-0.47241198","-0.02188565"," 0.56956959"," 0.36494729"
"M557.187T899.436","-0.1349717","-0.4325113","-0.5123957"," 0.8350129"," 0.2448659"
"M1029.931T1194.947","-0.03363155","-0.55218801","-0.10311384"," 0.11937009"," 0.56956331"
"M337.092T724.593","-0.09517945","-0.43975721","-0.49948460"," 0.25752690"," 0.77689437"
"M1013.86T1346.532","-0.06454602","-0.46202199","-0.20282894"," 0.30885262"," 0.42054432"
"M941.508T1318.851","-0.54189096","-0.07154913","-0.01266123"," 0.35523093"," 0.27087039"
"M1085.513T1348.399","-0.46339604","-0.46327184","-0.03299982"," 0.48634382"," 0.47332389"
"M466.978T106.664","-0.2994712","-0.1074078"," 0.4416487"," 0.1012227","-0.1359924"
"M861.451T1062.153","-0.1535386"," 0.5376814"," 0.1612685","-0.3972140","-0.1481973"
"M1059.606T1053.565","-0.2670471","-0.3083505","-0.4517990"," 0.6748572"," 0.3523394"
"M1096.195T893.605","-0.4725747"," 0.2283215"," 0.6457638","-0.5497662"," 0.1482556"
"M180.067T785.272"," 0.3622890","-0.3533205"," 0.2603866"," 0.3524653","-0.6218204"
"M633.053T106.254","-0.34007602","-0.26163836","-0.08279521"," 0.44236266"," 0.24214692"
"M1014.89T1344.191","-0.07935706","-0.66425828"," 0.04917042"," 0.33614122"," 0.35830369"
"M1269.507T907.7","-0.04257812"," 0.55146725"," 0.26186287","-0.55954282","-0.21120917"
"M985.574T1225.672","-0.03608009","-0.63458565"," 0.01661113"," 0.39805728"," 0.25599734"
"M1030.586T1195.906","-0.275563787","-0.321882056","-0.003155098"," 0.277694439"," 0.322906502"
"M983.568T1252.43"," 0.06361318","-0.25440559","-0.30486962","-0.04946809"," 0.54513012"
"M457.19T799.683","-0.20995155","-0.41036260","-0.01309097"," 0.34239673"," 0.29100839"
"M821.506T1329.663","-0.08430389","-0.53557300","-0.05437188"," 0.11010691"," 0.56414187"
"M768.448T1315.096","-0.1905864","-0.5490780","-0.2428485"," 0.2967007"," 0.6858122"
"M309.118T727.508"," 0.36775203","-0.07717841"," 0.11936367","-0.51608052"," 0.10614323"
"M655.999T943.196","-0.01922522"," 0.43986514"," 0.36081468"," 0.02200311","-0.80345771"
"M565.05T98.887"," 0.81149034"," 0.02328602","-0.22609482","-0.37934173","-0.22933981"
"M277.129T811.716","-0.147104884","-0.741479608","-0.005854337"," 0.374454984"," 0.519983845"
"M1097.561T894.34"," 0.40597670"," 0.56430426","-0.12089348","-0.90862933"," 0.05924185"
"M921.374T936.829","-0.08761099","-0.88863994"," 0.09980858"," 0.34533398"," 0.53110837"
"M451.007T107.467","-0.3276535","-0.1896474"," 0.2580444"," 0.4745400","-0.2152836"
"M1100.582T1225.322","-0.3462103","-0.4449482"," 0.1301624"," 0.3324197"," 0.3285764"
"M649.302T900.549","-0.33858176","-0.43422611","-0.09369081"," 0.28112439"," 0.58537428"
"M286.972T107.919","-0.34776388","-0.12926054"," 0.10721934"," 0.35342649"," 0.01637859"
"M581.318T900.123","-0.4223680","-0.5174262"," 0.1033013"," 0.3861108"," 0.4503821"
"M1014.585T1348.471","-0.28822916","-0.59636837","-0.03264284"," 0.50557147"," 0.41166890"
"M799.289T814.54","-0.0384802","-0.3186495","-0.4262607"," 0.2999049"," 0.4834856"
"M1053.272T316.465","-0.4298215","-0.4218704","-0.1104053"," 0.5082348"," 0.4538625"
"M1097.037T893.528"," 0.04087292"," 0.71688642","-0.23677513","-0.17605104","-0.34493318"
"M869.849T1307.413","-0.36803673","-0.30403775"," 0.23367330"," 0.04176649"," 0.39663469"
"M1071.559T892.477"," 0.08681563"," 0.47141841","-0.04220865","-0.44818340","-0.06784199"
"M1000.263T316.358","-0.5661643","-0.3108724"," 0.2557334"," 0.2614529"," 0.3598504"
"M767.194T317.413","-0.24275186","-0.56485163"," 0.02324548"," 0.26175326"," 0.52260474"
"M650.407T1378.088","-0.3575845","-0.5658824","-0.1460810"," 0.5322686"," 0.5372792"
"M653.891T318.024","-0.1716946","-0.3928091","-0.4383936"," 0.4889855"," 0.5139119"
"M560.841T1187.938"," 0.01217084","-0.36349377","-0.07454680","-0.11467864"," 0.54054838"
"M354.957T108.842","-0.37352630","-0.25372033","-0.04761879"," 0.25800287"," 0.41686255"
"M590.775T907.789"," 0.1829793"," 0.4349063"," 0.3347136","-0.5571430","-0.3954562"
"M206.082T164.917"," 0.1253934"," 0.2265295"," 0.6207099","-0.3043644","-0.6682684"
"M1161.521T895.466","-0.02874829"," 0.48482219"," 0.12338008","-0.54624719","-0.03320678"
"M418.218T902.438","-0.3645672","-0.8091646"," 0.3471204"," 0.3451878"," 0.4814236"
"M632.783T316.499","-0.42125128","-0.44316008"," 0.02512158"," 0.21536697"," 0.62392282"
"M451.218T291.531","-0.1609842","-0.6735468"," 0.1116024"," 0.1215627"," 0.6013659"
"M344.099T126.621","-0.2969152","-0.6732017"," 0.2082835"," 0.3145083"," 0.4473251"
"M385.113T835.894"," 0.2809803","-1.0698484","-0.1011353"," 0.7182497"," 0.1717537"
"M627.229T851.009","-0.2106645","-0.8448433"," 0.1724181"," 0.6647380"," 0.2183517"
"M885.489T1408.277","-0.311838350","-0.479256744","-0.005992691"," 0.215398962"," 0.581688824"
"M645.124T781.203"," 0.4506341"," 0.3446313","-0.1041321","-0.3944259","-0.2967073"
"M942.469T1308.469","-0.52875998","-0.21480932","-0.01395374"," 0.41852005"," 0.33900299"
"M421.069T767.549","-0.2206541","-0.4048182","-0.4507461"," 0.1746009"," 0.9016174"
"M643.245T813.714","-0.0875787","-0.6704392"," 0.0444403"," 0.4741265"," 0.2394512"
"M745.161T766.586"," 0.0576774","-0.6620577","-0.1874931"," 0.1724797"," 0.6193937"
"M316.508T323.984","-0.2265590","-0.1549256","-0.2169931"," 0.1629369"," 0.4355408"
"M729.273T847.264","-0.4414915","-0.4406304"," 0.0197369"," 0.3232540"," 0.5391310"
"M417.764T850.924","-0.3538932","-0.7268278"," 0.1559750"," 0.3434708"," 0.5812752"
"M653.752T320.843","-0.24557233","-0.26012232"," 0.01526325"," 0.02081723"," 0.46961417"
"M683.129T316.242","-0.7474436","-0.2164006"," 0.0112806"," 0.3618677"," 0.5906959"
"M653.783T316.318","-0.32911587","-0.39675793"," 0.03260843"," 0.34596810"," 0.34729727"
"M489.058T766.222","-0.2163509","-0.6307713","-0.4860268"," 0.6623619"," 0.6707871"
"M851.819T1425.446"," 0.2649425","-0.5600806","-0.6870171"," 0.3517924"," 0.6303629"
"M530.968T106.005","-0.2234407","-0.3489224","-0.2378247"," 0.2035104"," 0.6066774"
"M1009.607T1323.757","-0.33737455","-0.41467452","-0.07432651"," 0.50022021"," 0.32615536"
"M653.717T312.26","-0.02628112","-0.01447349"," 0.46979398","-0.34667656","-0.08236281"
"M1031.899T1225.646","-0.0174205","-0.3291228","-0.1631656"," 0.3208873"," 0.1888216"
"M297.119T136.686","-0.06102276","-0.47780639","-0.10655970"," 0.09417521"," 0.55121363"
"M769.419T945.253"," 0.03198246","-0.59989481","-0.34735693"," 0.37061047"," 0.54465882"
"M1201.918T909.936"," 0.008754682","-0.194004092"," 0.231182927","-0.653559383"," 0.607625866"
"M864.188T806.912","-0.2986425"," 0.3371703"," 0.2263252","-0.2308293","-0.0340237"
"M865.489T1291.829","-0.32683507","-0.03213154","-0.17264089"," 0.12716586"," 0.40444164"
"M799.191T949.166","-0.46350801","-0.02317972"," 0.07558137"," 0.47371771","-0.06261136"
"M1263.489T907.902"," 0.05880601"," 0.34086968"," 0.28356354","-0.66949388","-0.01374535"
"M451.174T880.577","-0.07955005","-1.01896352"," 0.25965473"," 0.09918882"," 0.73967001"
"M405.08T802.267","-0.1346689","-0.2292770","-0.3984698"," 0.3225301"," 0.4398856"
"M309.119T137.634","-0.05374083","-0.89918366"," 0.05023894"," 0.45049636"," 0.45218919"
"M385.077T746.611"," 0.1498327"," 0.2589848"," 0.3684479","-0.4550065","-0.3222589"
"M1030.642T1193.369","-0.31417955","-0.28199865"," 0.19654344"," 0.06325531"," 0.33637945"
"M429.414T851.13"," 0.27876296","-0.96255837","-0.02558771"," 0.24287054"," 0.46651258"
"M723.577T942.094","-0.52270388"," 0.70358465","-0.23719979","-0.09276371"," 0.14908273"
"M1071.439T878.893","-0.02922746","-1.08285074"," 0.16312342"," 0.30770021"," 0.64125457"
"M1069.501T1402.821","-0.1626349","-0.2126142","-0.5681052"," 0.5623847"," 0.3809695"
"M281.07T709.104","-0.41531714"," 0.12943482"," 0.06014385","-0.08268300"," 0.30842148"
"M577.137T781.037"," 0.4340916"," 0.5593738","-0.3114993","-0.5519722","-0.1299940"
"M397.075T138.684","-0.30254847","-0.47554558"," 0.12485655"," 0.09651741"," 0.55672009"
"M653.861T317.501","-0.23440250","-0.47515657","-0.03881752"," 0.23587588"," 0.51250071"
"M375.104T216.821","-0.4391366","-0.5084837"," 0.0358611"," 0.2641168"," 0.6476424"
"M384.097T310.658","-0.31506024","-0.27806110","-0.02801831"," 0.02452461"," 0.59661503"
"M351.085T316.423","-0.2856722","-0.3995637","-0.1383741"," 0.3254924"," 0.4981175"
